system:index,Lower_95,Mean,StdDev,Upper_95,.geo
0,1598.0656956727416,1905.1169772256728,156.65881711884248,2212.168258778604,"{""type"":""Point"",""coordinates"":[76.85574036467872,26.227392050948485]}"
1,1459.9949612871417,1973.1293995859212,261.8032848463161,2486.2638378847005,"{""type"":""Point"",""coordinates"":[74.18295285964321,26.47172735566211]}"
2,817.2822524589062,953.4772256728778,69.48723123161815,1089.6721988868494,"{""type"":""Point"",""coordinates"":[73.49639866593326,28.35391787569385]}"
3,2350.6055960779,2981.6387163561076,321.95567361133044,3612.6718366343152,"{""type"":""Point"",""coordinates"":[74.99918219288645,27.556414128960387]}"
4,2394.6496449929955,3133.8498964803316,377.1429854527224,3873.0501479676677,"{""type"":""Point"",""coordinates"":[73.96731798600662,24.061455879102297]}"
5,1746.4553997576872,2436.439958592132,352.03293818083904,3126.4245174265766,"{""type"":""Point"",""coordinates"":[73.51834394131915,29.25842818486946]}"
6,1918.843875974021,2378.692546583851,234.61666867848447,2838.5412171936805,"{""type"":""Point"",""coordinates"":[74.46378897694741,26.273963531203954]}"
7,1649.4103080692223,1925.3074534161492,140.76384966679942,2201.204598763076,"{""type"":""Point"",""coordinates"":[73.00191033670411,26.83550901391402]}"
8,1282.2283692852845,1497.4399585921326,109.8018312790041,1712.6515478989807,"{""type"":""Point"",""coordinates"":[73.72265822865788,27.596847278780366]}"
9,1548.2072783594663,2380.387163561077,424.5815740824545,3212.567048762688,"{""type"":""Point"",""coordinates"":[74.22449242005985,26.447455263421904]}"
10,1645.2733550179341,1945.8902691511387,153.3759765985738,2246.5071832843432,"{""type"":""Point"",""coordinates"":[72.8999689170584,25.602697101457878]}"
11,1679.4155654898075,1986.149068322981,156.49668511896613,2292.882571156155,"{""type"":""Point"",""coordinates"":[73.81670234228213,26.38215463383123]}"
12,1634.5954652728014,2982.600414078675,687.7576269417722,4330.605362884548,"{""type"":""Point"",""coordinates"":[76.01566586008377,24.410995882731786]}"
13,1870.2458571003326,2960.9108789760967,556.4617458549817,4051.5759008518608,"{""type"":""Point"",""coordinates"":[74.39456801050633,23.37566982747601]}"
14,2599.9219586513746,3123.412008281574,267.08676001540783,3646.902057911773,"{""type"":""Point"",""coordinates"":[72.86298997819135,24.427151935687004]}"
15,1584.5201710503645,2030.5890269151137,227.5861509514026,2476.6578827798626,"{""type"":""Point"",""coordinates"":[72.06408242719326,25.036270432524955]}"
16,919.3496604759886,1171.2422360248445,128.5166201779877,1423.1348115737003,"{""type"":""Point"",""coordinates"":[71.0670526559179,26.026248803787745]}"
17,1262.3752320389042,1830.2360248447203,289.7248942886817,2398.0968176505367,"{""type"":""Point"",""coordinates"":[72.10086920136067,26.77814699784821]}"
18,1995.029758725834,2352.851966873706,182.562351095853,2710.674175021578,"{""type"":""Point"",""coordinates"":[74.0958917933883,25.56899951801406]}"
19,681.9161603139166,810.0041407867494,65.35101044532281,938.0921212595822,"{""type"":""Point"",""coordinates"":[73.25420904581705,28.29979190111344]}"
20,946.7141487298385,1469.5569358178054,266.7565240244729,1992.3997229057723,"{""type"":""Point"",""coordinates"":[72.6390433275555,28.14263751892158]}"
21,1938.1920363658805,2458.5910973084888,265.5097249707185,2978.990158251097,"{""type"":""Point"",""coordinates"":[74.43065130772462,25.29366639078662]}"
22,1732.142668029651,3146.9161490683227,721.8232046115672,4561.689630106995,"{""type"":""Point"",""coordinates"":[75.59711224276249,28.52156143586264]}"
23,1072.251014340854,1592.6200828157348,265.4944226912657,2112.9891512906156,"{""type"":""Point"",""coordinates"":[73.4271580247599,27.71951573588749]}"
